time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
52.17,0.028418,2,-0.000145,0.000393,0.001025,-0.001849,0.000064,0.000612
52.343,-0.007213,2,-0.000126,0.000273,0.000845,-0.000885,0.00013,0.000394
52.5,0.077366,2,-0.000093,0.000056,0.000348,0.000157,-0.000289,0.000047
52.689,0.094455,2,-0.000034,-0.000201,-0.000162,0.001067,-0.000551,-0.000338
52.862,0.058031,2,0.000037,-0.000316,-0.000397,0.001301,-0.000478,-0.000504
53.035,-0.001472,2,0.000108,-0.000269,-0.000601,0.000934,-0.00061,-0.000414
53.207,0.040121,2,0.000159,-0.000102,-0.00076,0.000215,-0.000775,-0.000124
53.38,0.156154,2,0.000184,0.000056,-0.000681,-0.000357,-0.000351,0.00014
53.584,0.086977,2,0.000181,0.00007,-0.000352,-0.000294,0.000794,0.000144
53.757,-0.044475,2,0.000152,-0.000038,-0.000116,0.000286,0.001578,-0.000042
53.93,-0.225469,2,0.000096,-0.000107,0.000082,0.000793,0.002021,-0.00017
54.103,-0.133334,2,0.000018,-0.000055,0.000383,0.000659,0.002516,-0.000131
54.276,0.018412,2,-0.000064,0.000062,0.000726,-0.000196,0.003161,0.00002
54.449,0.061967,2,-0.000129,0.000153,0.000804,-0.001164,0.003292,0.000178
54.622,0.012162,2,-0.000167,0.000204,0.000402,-0.001502,0.002105,0.000293
54.81,0.048806,2,-0.000174,0.000207,-0.000335,-0.000988,-0.000451,0.000337
54.983,-0.055199,2,-0.00015,0.000112,-0.000818,-0.000142,-0.002757,0.000227
55.156,-0.006354,2,-0.000101,-0.000066,-0.00095,0.000557,-0.004242,-0.000033
55.344,-0.000235,2,-0.000036,-0.000193,-0.000905,0.000773,-0.005068,-0.000258
55.533,0.033115,2,0.000026,-0.000132,-0.000777,0.00045,-0.005206,-0.000192
55.721,0.056792,2,0.000073,-0.000006,-0.000407,0.000112,-0.004277,-0.000003
55.894,0.039039,2,0.000098,-0.000002,0.000198,0.000123,-0.002398,-0.000015
56.067,0.054953,2,0.000105,-0.000107,0.000897,0.000344,0.000082,-0.000207
56.24,0.0711,2,0.000099,-0.000187,0.001503,0.000637,0.002731,-0.000342
56.397,-0.054513,2,0.000085,-0.000155,0.001877,0.000908,0.004989,-0.000295
56.586,-0.223334,2,0.000058,-0.000031,0.00197,0.000899,0.006904,-0.000101
56.759,-0.233429,2,0.000021,0.000065,0.001513,0.000194,0.006933,0.000081
56.932,-0.137846,2,-0.000026,0.000138,0.000502,-0.000979,0.004864,0.000249
57.104,0.124849,2,-0.000072,0.000237,-0.000658,-0.001914,0.001762,0.000444
57.293,0.18101,2,-0.000098,0.000324,-0.001504,-0.002056,-0.000921,0.000601
57.481,0.116593,2,-0.000089,0.000243,-0.001875,-0.001229,-0.002551,0.000463
57.654,-0.005991,2,-0.000062,0.00001,-0.002101,0.000042,-0.004015,0.000027
57.827,0.164174,2,-0.000028,-0.000242,-0.002116,0.001279,-0.005185,-0.000456
58,0.250253,2,0.000012,-0.00036,-0.001651,0.001973,-0.005096,-0.000674
58.173,0.040491,2,0.000057,-0.000281,-0.000849,0.001825,-0.003832,-0.00052
58.346,-0.193849,2,0.000094,-0.00008,-0.000015,0.000862,-0.00211,-0.000156
58.519,-0.175465,2,0.000107,0.000087,0.000844,-0.000476,-0.000016,0.000154
58.692,-0.186499,2,0.000094,0.000142,0.001713,-0.00145,0.002275,0.000278
58.864,-0.088728,2,0.000058,0.000152,0.002262,-0.00151,0.003739,0.000295
59.053,0.061748,2,0.000004,0.00015,0.002256,-0.000589,0.003762,0.000269
59.21,-0.034565,2,-0.00004,0.000058,0.001898,0.000491,0.003095,0.000112
